"rgn_id","habitat","km2"
1,"mangrove",0
3,"mangrove",0
2,"mangrove",0
4,"mangrove",0
1,"soft_bottom",56146.5
3,"soft_bottom",56146.5
2,"soft_bottom",56146.5
4,"soft_bottom",56146.5
1,"saltmarsh",283.45
3,"saltmarsh",283.45
2,"saltmarsh",283.45
4,"saltmarsh",283.45
1,"seaice_edge",2428.00245098039
3,"seaice_edge",2428.00245098039
2,"seaice_edge",2428.00245098039
4,"seaice_edge",2428.00245098039
1,"seaice_shoreline",2270.22058823529
3,"seaice_shoreline",2270.22058823529
2,"seaice_shoreline",2270.22058823529
4,"seaice_shoreline",2270.22058823529
