"rgn_id","sciname","popn_trend"
1,"Balaenoptera physalus","Unknown"
3,"Balaenoptera physalus","Unknown"
2,"Balaenoptera physalus","Unknown"
4,"Balaenoptera physalus","Unknown"
1,"Cetorhinus maximus","Decreasing"
3,"Cetorhinus maximus","Decreasing"
2,"Cetorhinus maximus","Decreasing"
4,"Cetorhinus maximus","Decreasing"
1,"Eubalaena glacialis","Unknown"
3,"Eubalaena glacialis","Unknown"
2,"Eubalaena glacialis","Unknown"
4,"Eubalaena glacialis","Unknown"
1,"Lamna nasus","Decreasing"
3,"Lamna nasus","Decreasing"
2,"Lamna nasus","Decreasing"
4,"Lamna nasus","Decreasing"
