"rgn_id","count","year"
1,72814900,1960
3,72814900,1960
2,72814900,1960
4,72814900,1960
1,73377632,1961
3,73377632,1961
2,73377632,1961
4,73377632,1961
1,74025784,1962
3,74025784,1962
2,74025784,1962
4,74025784,1962
1,74714353,1963
3,74714353,1963
2,74714353,1963
4,74714353,1963
1,75318337,1964
3,75318337,1964
2,75318337,1964
4,75318337,1964
1,75963695,1965
3,75963695,1965
2,75963695,1965
4,75963695,1965
1,76600311,1966
3,76600311,1966
2,76600311,1966
4,76600311,1966
1,76951336,1967
3,76951336,1967
2,76951336,1967
4,76951336,1967
1,77294314,1968
3,77294314,1968
2,77294314,1968
4,77294314,1968
1,77909682,1969
3,77909682,1969
2,77909682,1969
4,77909682,1969
1,78169289,1970
3,78169289,1970
2,78169289,1970
4,78169289,1970
1,78312842,1971
3,78312842,1971
2,78312842,1971
4,78312842,1971
1,78688452,1972
3,78688452,1972
2,78688452,1972
4,78688452,1972
1,78936666,1973
3,78936666,1973
2,78936666,1973
4,78936666,1973
1,78967433,1974
3,78967433,1974
2,78967433,1974
4,78967433,1974
1,78673554,1975
3,78673554,1975
2,78673554,1975
4,78673554,1975
1,78336950,1976
3,78336950,1976
2,78336950,1976
4,78336950,1976
1,78159814,1977
3,78159814,1977
2,78159814,1977
4,78159814,1977
1,78091820,1978
3,78091820,1978
2,78091820,1978
4,78091820,1978
1,78126350,1979
3,78126350,1979
2,78126350,1979
4,78126350,1979
1,78288576,1980
3,78288576,1980
2,78288576,1980
4,78288576,1980
1,78407907,1981
3,78407907,1981
2,78407907,1981
4,78407907,1981
1,78333366,1982
3,78333366,1982
2,78333366,1982
4,78333366,1982
1,78128282,1983
3,78128282,1983
2,78128282,1983
4,78128282,1983
1,77858685,1984
3,77858685,1984
2,77858685,1984
4,77858685,1984
1,77684873,1985
3,77684873,1985
2,77684873,1985
4,77684873,1985
1,77720436,1986
3,77720436,1986
2,77720436,1986
4,77720436,1986
1,77839920,1987
3,77839920,1987
2,77839920,1987
4,77839920,1987
1,78144619,1988
3,78144619,1988
2,78144619,1988
4,78144619,1988
1,78751283,1989
3,78751283,1989
2,78751283,1989
4,78751283,1989
1,79433029,1990
3,79433029,1990
2,79433029,1990
4,79433029,1990
1,80013896,1991
3,80013896,1991
2,80013896,1991
4,80013896,1991
1,80624598,1992
3,80624598,1992
2,80624598,1992
4,80624598,1992
1,81156363,1993
3,81156363,1993
2,81156363,1993
4,81156363,1993
1,81438348,1994
3,81438348,1994
2,81438348,1994
4,81438348,1994
1,81678051,1995
3,81678051,1995
2,81678051,1995
4,81678051,1995
1,81914831,1996
3,81914831,1996
2,81914831,1996
4,81914831,1996
1,82034771,1997
3,82034771,1997
2,82034771,1997
4,82034771,1997
1,82047195,1998
3,82047195,1998
2,82047195,1998
4,82047195,1998
1,82100243,1999
3,82100243,1999
2,82100243,1999
4,82100243,1999
1,82211508,2000
3,82211508,2000
2,82211508,2000
4,82211508,2000
1,82349925,2001
3,82349925,2001
2,82349925,2001
4,82349925,2001
1,82488495,2002
3,82488495,2002
2,82488495,2002
4,82488495,2002
1,82534176,2003
3,82534176,2003
2,82534176,2003
4,82534176,2003
1,82516260,2004
3,82516260,2004
2,82516260,2004
4,82516260,2004
1,82469422,2005
3,82469422,2005
2,82469422,2005
4,82469422,2005
1,82376451,2006
3,82376451,2006
2,82376451,2006
4,82376451,2006
1,82266372,2007
3,82266372,2007
2,82266372,2007
4,82266372,2007
1,82110097,2008
3,82110097,2008
2,82110097,2008
4,82110097,2008
1,81902307,2009
3,81902307,2009
2,81902307,2009
4,81902307,2009
1,81776930,2010
3,81776930,2010
2,81776930,2010
4,81776930,2010
1,81797673,2011
3,81797673,2011
2,81797673,2011
4,81797673,2011
1,81889839,2012
3,81889839,2012
2,81889839,2012
4,81889839,2012
