"cntry_key","sector","year","value"
"DEU","aqf",2003,789573.45971616
"DEU","aqf",2004,1292785.21939952
"DEU","aqf",2005,1102500
"DEU","aqf",2006,818750.270270016
"DEU","aqf",2007,1037089.37960118
"DEU","aqf",2008,1121588.65248282
"DEU","cf",2002,1797583290.72
"DEU","cf",2007,2148845896.512
"DEU","mar",2005,31486146.09
"DEU","mar",2006,24163702.51
"DEU","mar",2007,54088122.61388
"DEU","mar",2008,36673710.89
"DEU","mar",2009,17588017.25
"DEU","mar",2010,15387557.04
"DEU","mmw",1998,0
"DEU","mmw",2008,0
"DEU","og",2004,1434184755.1864
"DEU","og",2005,1148321948.3064
"DEU","og",2006,3156346546.192
"DEU","og",2007,1667698357.976
"DEU","og",2008,1821669471.132
"DEU","og",2009,1404667871.18
"DEU","tour",2007,17294397414.4
"DEU","tour",2008,17036759756.5
"DEU","tour",2009,16502471851.5
"DEU","tour",2010,16490973219.8
"DEU","tour",2011,1.55417e+11
"DEU","tour",2012,1.53864e+11
