"rgn_id","sector","year","value"
1,"cf",2002,21386.1553485577
2,"cf",2002,21386.1553485577
3,"cf",2002,21386.1553485577
4,"cf",2002,21386.1553485577
1,"cf",2003,20024.9134726673
2,"cf",2003,20024.9134726673
3,"cf",2003,20024.9134726673
4,"cf",2003,20024.9134726673
1,"cf",2004,28117.4045138889
2,"cf",2004,28117.4045138889
3,"cf",2004,28117.4045138889
4,"cf",2004,28117.4045138889
1,"cf",2005,28160.9380564458
2,"cf",2005,28160.9380564458
3,"cf",2005,28160.9380564458
4,"cf",2005,28160.9380564458
1,"cf",2006,28407.4936565172
2,"cf",2006,28407.4936565172
3,"cf",2006,28407.4936565172
4,"cf",2006,28407.4936565172
1,"cf",2007,30993.172409188
2,"cf",2007,30993.172409188
3,"cf",2007,30993.172409188
4,"cf",2007,30993.172409188
1,"ph",2003,27080.7764645654
2,"ph",2003,27080.7764645654
3,"ph",2003,27080.7764645654
4,"ph",2003,27080.7764645654
1,"ph",2004,39004.1037882836
2,"ph",2004,39004.1037882836
3,"ph",2004,39004.1037882836
4,"ph",2004,39004.1037882836
1,"ph",2005,39987.7331508192
2,"ph",2005,39987.7331508192
3,"ph",2005,39987.7331508192
4,"ph",2005,39987.7331508192
1,"ph",2006,41414.6690259972
2,"ph",2006,41414.6690259972
3,"ph",2006,41414.6690259972
4,"ph",2006,41414.6690259972
1,"ph",2007,46644.9040687322
2,"ph",2007,46644.9040687322
3,"ph",2007,46644.9040687322
4,"ph",2007,46644.9040687322
1,"ph",2008,52334.8635594729
2,"ph",2008,52334.8635594729
3,"ph",2008,52334.8635594729
4,"ph",2008,52334.8635594729
1,"sb",2003,23282.8010928597
2,"sb",2003,23282.8010928597
3,"sb",2003,23282.8010928597
4,"sb",2003,23282.8010928597
1,"sb",2004,33221.1844506767
2,"sb",2004,33221.1844506767
3,"sb",2004,33221.1844506767
4,"sb",2004,33221.1844506767
1,"sb",2005,33928.978031517
2,"sb",2005,33928.978031517
3,"sb",2005,33928.978031517
4,"sb",2005,33928.978031517
1,"sb",2006,35270.1461226851
2,"sb",2006,35270.1461226851
3,"sb",2006,35270.1461226851
4,"sb",2006,35270.1461226851
1,"sb",2007,40064.1415153134
2,"sb",2007,40064.1415153134
3,"sb",2007,40064.1415153134
4,"sb",2007,40064.1415153134
1,"sb",2008,43592.5758992165
2,"sb",2008,43592.5758992165
3,"sb",2008,43592.5758992165
4,"sb",2008,43592.5758992165
1,"tour",2003,73963.1758035078
2,"tour",2003,73963.1758035078
3,"tour",2003,73963.1758035078
4,"tour",2003,73963.1758035078
1,"tour",2004,105398.822838764
2,"tour",2004,105398.822838764
3,"tour",2004,105398.822838764
4,"tour",2004,105398.822838764
1,"tour",2005,107159.929498309
2,"tour",2005,107159.929498309
3,"tour",2005,107159.929498309
4,"tour",2005,107159.929498309
1,"tour",2006,109760.397191062
2,"tour",2006,109760.397191062
3,"tour",2006,109760.397191062
4,"tour",2006,109760.397191062
1,"tour",2007,121454.571759259
2,"tour",2007,121454.571759259
3,"tour",2007,121454.571759259
4,"tour",2007,121454.571759259
1,"tour",2008,133928.429932336
2,"tour",2008,133928.429932336
3,"tour",2008,133928.429932336
4,"tour",2008,133928.429932336
1,"tran",2003,81183.1263354701
2,"tran",2003,81183.1263354701
3,"tran",2003,81183.1263354701
4,"tran",2003,81183.1263354701
1,"tran",2004,113990.943843483
2,"tran",2004,113990.943843483
3,"tran",2004,113990.943843483
4,"tran",2004,113990.943843483
1,"tran",2005,162687.277421652
2,"tran",2005,162687.277421652
3,"tran",2005,162687.277421652
4,"tran",2005,162687.277421652
1,"tran",2006,172708.533653846
2,"tran",2006,172708.533653846
3,"tran",2006,172708.533653846
4,"tran",2006,172708.533653846
1,"tran",2007,195041.800213675
2,"tran",2007,195041.800213675
3,"tran",2007,195041.800213675
4,"tran",2007,195041.800213675
1,"tran",2008,219724.158653846
2,"tran",2008,219724.158653846
3,"tran",2008,219724.158653846
4,"tran",2008,219724.158653846
