"cntry_key","year","jobs"
"DEU",1990,"37265351.9357958"
"DEU",1991,"39908363.4616949"
"DEU",1992,"39828888.2884412"
"DEU",1993,"39782718.9748869"
"DEU",1994,"39696976.0354609"
"DEU",1995,"39749047.9018301"
"DEU",1996,"39963147.0565069"
"DEU",1997,"40216096.2702319"
"DEU",1998,"40508873.7632266"
"DEU",1999,"40355557.3924857"
"DEU",2000,"40309081.2480275"
"DEU",2001,"40493239.8979603"
"DEU",2002,"40476779.6364041"
"DEU",2003,"40276006.3900373"
"DEU",2004,"40743681.1429465"
"DEU",2005,"41261506.1713122"
"DEU",2006,"41605652.2277825"
"DEU",2007,"41860106.2359434"
"DEU",2008,"41939193.4653989"
"DEU",2009,"41983039.0459826"
"DEU",2010,"41990452.2557447"
"DEU",2011,"42490516.9800479"
"DEU",2012,"42522729.5873484"
