"rgn_id","year","area_km2"
1,0,3010
3,0,3010
2,0,3010
4,0,3010
1,1936,1
3,1936,1
2,1936,1
4,1936,1
1,1937,8
3,1937,8
2,1937,8
4,1937,8
1,1939,1
3,1939,1
2,1939,1
4,1939,1
1,1954,11
3,1954,11
2,1954,11
4,1954,11
1,1955,1
3,1955,1
2,1955,1
4,1955,1
1,1957,1
3,1957,1
2,1957,1
4,1957,1
1,1965,5
3,1965,5
2,1965,5
4,1965,5
1,1966,18
3,1966,18
2,1966,18
4,1966,18
1,1967,4
3,1967,4
2,1967,4
4,1967,4
1,1968,2
3,1968,2
2,1968,2
4,1968,2
1,1972,1
3,1972,1
2,1972,1
4,1972,1
1,1976,12
3,1976,12
2,1976,12
4,1976,12
1,1977,3
3,1977,3
2,1977,3
4,1977,3
1,1978,1
3,1978,1
2,1978,1
4,1978,1
1,1980,5
3,1980,5
2,1980,5
4,1980,5
1,1981,3
3,1981,3
2,1981,3
4,1981,3
1,1982,31
3,1982,31
2,1982,31
4,1982,31
1,1983,78
3,1983,78
2,1983,78
4,1983,78
1,1985,16
3,1985,16
2,1985,16
4,1985,16
1,1986,9
3,1986,9
2,1986,9
4,1986,9
1,1989,3
3,1989,3
2,1989,3
4,1989,3
1,1990,9
3,1990,9
2,1990,9
4,1990,9
1,1991,97
3,1991,97
2,1991,97
4,1991,97
1,1992,11
3,1992,11
2,1992,11
4,1992,11
1,1995,24
3,1995,24
2,1995,24
4,1995,24
1,1998,2028
3,1998,2028
2,1998,2028
4,1998,2028
1,1999,3
3,1999,3
2,1999,3
4,1999,3
1,2000,78
3,2000,78
2,2000,78
4,2000,78
1,2001,278
3,2001,278
2,2001,278
4,2001,278
1,2004,3574
3,2004,3574
2,2004,3574
4,2004,3574
1,2005,27
3,2005,27
2,2005,27
4,2005,27
1,2006,10
3,2006,10
2,2006,10
4,2006,10
1,2007,1
3,2007,1
2,2007,1
4,2007,1
1,2009,3
3,2009,3
2,2009,3
4,2009,3
