" ","score","status","future"
"Index",84.45,,88.48
"Food Provision",65.94,60.22,71.66
". Fisheries",22.78,20.71,24.86
". Mariculture",88.74,81.09,96.39
"Artisanal Fishing Opportunity",78.45,70.34,86.56
"Natural Products",93.49,86.99,100
"Carbon Storage",,100,
"Coastal Protection",83.28,74.33,92.23
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",68.6,70,67.2
". Iconic Species",37.2,40,34.39
". Lasting Special Places",100,100,100
"Clean Waters",78.75,75.31,82.19
"Biodiversity",91.58,86.64,96.51
". Habitats",94.6,89.2,100
". Species",88.56,84.08,93.03
